num_healthy_workers,actor_manager_num_outstanding_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/shared_policy/num_agent_steps_trained,info/learner/shared_policy/num_grad_updates_lifetime,info/learner/shared_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/shared_policy/learner_stats/allreduce_latency,info/learner/shared_policy/learner_stats/grad_gnorm,info/learner/shared_policy/learner_stats/cur_kl_coeff,info/learner/shared_policy/learner_stats/cur_lr,info/learner/shared_policy/learner_stats/total_loss,info/learner/shared_policy/learner_stats/policy_loss,info/learner/shared_policy/learner_stats/vf_loss,info/learner/shared_policy/learner_stats/vf_explained_var,info/learner/shared_policy/learner_stats/kl,info/learner/shared_policy/learner_stats/entropy,info/learner/shared_policy/learner_stats/entropy_coeff
6,0,0,8000,8000,4000,4000,4000,4000,2290.3642665727434,2290.3642665727434,4000,4000,8000,4000,8000,False,1,f16be_00000,2025-12-22_22-17-44,1766413064,1.7502760887145996,1.7502760887145996,13485,Mac,127.0.0.1,1.7502760887145996,1,4000,4000,8000,8000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,1746.455,0.014,1746.415,553.421,1185.923,3372.901,6.355,4000,4000,8000,8000,28.46666666666667,68.03333333333333,[],[],126.98412698412699,315.5,314.5,0.0,0.14984359279393203,0.19999999999999998,0.0005000000000000001,4.967200275451418,-0.016293378889797226,10.0,-1.7029898507254464e-09,0.006720886989015455,1.7850517223751734,0.01
6,0,0,16000,16000,8000,8000,4000,4000,2615.997906854397,2615.997906854397,8000,8000,16000,4000,16000,False,2,f16be_00000,2025-12-22_22-17-46,1766413066,1.5326859951019287,3.2829620838165283,13485,Mac,127.0.0.1,3.2829620838165283,2,8000,8000,16000,16000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,1637.757,0.013,1637.721,456.728,1173.996,3407.166,6.31,8000,8000,16000,16000,33.8,68.35,[],[],126.98412698412699,945.5,314.5,0.0,0.19949018373375849,0.19999999999999998,0.0005000000000000001,4.962154987880162,-0.021743767250270125,10.0,5.0805863879975817e-08,0.008234979940916374,1.7748232665516082,0.01
6,0,0,24000,24000,12000,12000,4000,4000,2679.352530348144,2679.352530348144,12000,12000,24000,4000,24000,False,3,f16be_00000,2025-12-22_22-17-47,1766413067,1.4969842433929443,4.779946327209473,13485,Mac,127.0.0.1,4.779946327209473,3,12000,12000,24000,24000,41858.56987638124,26087.490305986554,32069.43230219813,400.0,9600,0,24,41858.56987638124,26087.490305986554,32069.43230219813,24,1589.473,0.012,1589.441,420.555,1161.973,3442.42,6.234,12000,12000,24000,24000,32.5,68.2,"[41858.56987638124, 28724.920443213185, 35025.29846941328, 36459.71159340063, 28802.01347027085, 34898.34104558512, 29253.393701574652, 26087.490305986554, 35082.2551245614, 35649.09060067022, 32968.97478263923, 30137.610279312605, 33405.300284397425, 30342.200807384623, 29522.225788520467, 31509.532501664715, 28400.32828561036, 29205.06272396518, 34592.15346467598, 30706.095780646916, 30805.95385461222, 27480.35964520668, 37791.71504772304, 30957.777375338515]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,1575.5,314.5,0.0,0.2316006536048556,0.19999999999999998,0.0005000000000000001,4.95934867556133,-0.0247954303631559,10.0,-7.43638901483445e-08,0.008834932644675726,1.7622894432809617,0.01
6,0,0,32000,32000,16000,16000,4000,4000,2518.712349098015,2518.712349098015,16000,16000,32000,4000,32000,False,4,f16be_00000,2025-12-22_22-17-49,1766413069,1.5917689800262451,6.371715307235718,13485,Mac,127.0.0.1,6.371715307235718,4,16000,16000,32000,32000,41858.56987638124,26087.490305986554,32069.43230219813,400.0,9600,0,0,41858.56987638124,26087.490305986554,32069.43230219813,0,1589.134,0.011,1589.105,411.964,1170.196,3418.231,6.26,16000,16000,32000,32000,28.96666666666667,68.46666666666667,"[41858.56987638124, 28724.920443213185, 35025.29846941328, 36459.71159340063, 28802.01347027085, 34898.34104558512, 29253.393701574652, 26087.490305986554, 35082.2551245614, 35649.09060067022, 32968.97478263923, 30137.610279312605, 33405.300284397425, 30342.200807384623, 29522.225788520467, 31509.532501664715, 28400.32828561036, 29205.06272396518, 34592.15346467598, 30706.095780646916, 30805.95385461222, 27480.35964520668, 37791.71504772304, 30957.777375338515]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,2205.5,314.5,0.0,0.25088230853989013,0.19999999999999998,0.0005000000000000001,4.959902052652268,-0.02433990721576034,10.0,-1.7881393432617187e-08,0.008915565618934368,1.7541150480981857,0.01
6,0,0,40000,40000,20000,20000,4000,4000,2661.858660091832,2661.858660091832,20000,20000,40000,4000,40000,False,5,f16be_00000,2025-12-22_22-17-50,1766413070,1.5074119567871094,7.879127264022827,13485,Mac,127.0.0.1,7.879127264022827,5,20000,20000,40000,40000,41858.56987638124,25414.62437285583,31967.236230162827,400.0,19200,0,24,41858.56987638124,25414.62437285583,31967.236230162827,24,1571.85,0.01,1571.823,403.553,1161.349,3444.272,6.225,20000,20000,40000,40000,32.95,68.55,"[41858.56987638124, 28724.920443213185, 35025.29846941328, 36459.71159340063, 28802.01347027085, 34898.34104558512, 29253.393701574652, 26087.490305986554, 35082.2551245614, 35649.09060067022, 32968.97478263923, 30137.610279312605, 33405.300284397425, 30342.200807384623, 29522.225788520467, 31509.532501664715, 28400.32828561036, 29205.06272396518, 34592.15346467598, 30706.095780646916, 30805.95385461222, 27480.35964520668, 37791.71504772304, 30957.777375338515, 36757.13270764025, 32779.60553717426, 27043.201652166077, 26854.393845143124, 33897.77236904709, 32960.6967333504, 35400.420294821015, 34726.83300365975, 34409.26253720759, 30198.5608968464, 30714.98496738475, 27391.976850136296, 35122.625322155145, 33455.84441556698, 38125.836349405625, 34303.51111537851, 31058.15640246923, 30014.55174379084, 34524.11278568334, 32497.8634759513, 29675.344720783636, 31908.70851366693, 25524.94318277613, 25414.62437285583]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,2835.5,314.5,0.0,0.2739842356433944,0.19999999999999998,0.0005000000000000001,4.960408124469575,-0.024033810009455515,10.0,-3.131609114389571e-08,0.009329145157786866,1.7423874344144548,0.01
6,0,0,48000,48000,24000,24000,4000,4000,2625.62458918902,2625.62458918902,24000,24000,48000,4000,48000,False,6,f16be_00000,2025-12-22_22-17-52,1766413072,1.5278971195220947,9.407024383544922,13485,Mac,127.0.0.1,9.407024383544922,6,24000,24000,48000,48000,41858.56987638124,25414.62437285583,31967.236230162827,400.0,19200,0,0,41858.56987638124,25414.62437285583,31967.236230162827,0,1563.784,0.009,1563.758,395.822,1160.96,3445.425,6.271,24000,24000,48000,48000,36.7,68.25,"[41858.56987638124, 28724.920443213185, 35025.29846941328, 36459.71159340063, 28802.01347027085, 34898.34104558512, 29253.393701574652, 26087.490305986554, 35082.2551245614, 35649.09060067022, 32968.97478263923, 30137.610279312605, 33405.300284397425, 30342.200807384623, 29522.225788520467, 31509.532501664715, 28400.32828561036, 29205.06272396518, 34592.15346467598, 30706.095780646916, 30805.95385461222, 27480.35964520668, 37791.71504772304, 30957.777375338515, 36757.13270764025, 32779.60553717426, 27043.201652166077, 26854.393845143124, 33897.77236904709, 32960.6967333504, 35400.420294821015, 34726.83300365975, 34409.26253720759, 30198.5608968464, 30714.98496738475, 27391.976850136296, 35122.625322155145, 33455.84441556698, 38125.836349405625, 34303.51111537851, 31058.15640246923, 30014.55174379084, 34524.11278568334, 32497.8634759513, 29675.344720783636, 31908.70851366693, 25524.94318277613, 25414.62437285583]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,3465.5,314.5,0.0,0.2929811561154941,0.19999999999999998,0.0005000000000000001,4.958601273430718,-0.026264702975897797,10.0,-1.1750629970005581e-07,0.010646317853728215,1.7263291849030389,0.01
6,0,0,56000,56000,28000,28000,4000,4000,2693.717058505908,2693.717058505908,28000,28000,56000,4000,56000,False,7,f16be_00000,2025-12-22_22-17-53,1766413073,1.4890539646148682,10.89607834815979,13485,Mac,127.0.0.1,10.89607834815979,7,28000,28000,56000,56000,41858.56987638124,25414.62437285583,31967.236230162827,400.0,19200,0,0,41858.56987638124,25414.62437285583,31967.236230162827,0,1552.52,0.009,1552.496,390.739,1154.787,3463.842,6.256,28000,28000,56000,56000,33.05,68.1,"[41858.56987638124, 28724.920443213185, 35025.29846941328, 36459.71159340063, 28802.01347027085, 34898.34104558512, 29253.393701574652, 26087.490305986554, 35082.2551245614, 35649.09060067022, 32968.97478263923, 30137.610279312605, 33405.300284397425, 30342.200807384623, 29522.225788520467, 31509.532501664715, 28400.32828561036, 29205.06272396518, 34592.15346467598, 30706.095780646916, 30805.95385461222, 27480.35964520668, 37791.71504772304, 30957.777375338515, 36757.13270764025, 32779.60553717426, 27043.201652166077, 26854.393845143124, 33897.77236904709, 32960.6967333504, 35400.420294821015, 34726.83300365975, 34409.26253720759, 30198.5608968464, 30714.98496738475, 27391.976850136296, 35122.625322155145, 33455.84441556698, 38125.836349405625, 34303.51111537851, 31058.15640246923, 30014.55174379084, 34524.11278568334, 32497.8634759513, 29675.344720783636, 31908.70851366693, 25524.94318277613, 25414.62437285583]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,4095.5,314.5,0.0,0.307166234415675,0.19999999999999998,0.0005000000000000001,4.956616207153078,-0.028433689013833092,10.0,-1.163709731329055e-08,0.010806894263285877,1.7111475566076855,0.01
6,0,0,64000,64000,32000,32000,4000,4000,2666.6768392315134,2666.6768392315134,32000,32000,64000,4000,64000,False,8,f16be_00000,2025-12-22_22-17-55,1766413075,1.5037779808044434,12.399856328964233,13485,Mac,127.0.0.1,12.399856328964233,8,32000,32000,64000,64000,41858.56987638124,25414.62437285583,32675.342759464143,400.0,28800,0,24,41858.56987638124,25414.62437285583,32675.342759464143,24,1545.955,0.009,1545.931,387.107,1151.855,3472.658,6.25,32000,32000,64000,64000,33.35,68.1,"[41858.56987638124, 28724.920443213185, 35025.29846941328, 36459.71159340063, 28802.01347027085, 34898.34104558512, 29253.393701574652, 26087.490305986554, 35082.2551245614, 35649.09060067022, 32968.97478263923, 30137.610279312605, 33405.300284397425, 30342.200807384623, 29522.225788520467, 31509.532501664715, 28400.32828561036, 29205.06272396518, 34592.15346467598, 30706.095780646916, 30805.95385461222, 27480.35964520668, 37791.71504772304, 30957.777375338515, 36757.13270764025, 32779.60553717426, 27043.201652166077, 26854.393845143124, 33897.77236904709, 32960.6967333504, 35400.420294821015, 34726.83300365975, 34409.26253720759, 30198.5608968464, 30714.98496738475, 27391.976850136296, 35122.625322155145, 33455.84441556698, 38125.836349405625, 34303.51111537851, 31058.15640246923, 30014.55174379084, 34524.11278568334, 32497.8634759513, 29675.344720783636, 31908.70851366693, 25524.94318277613, 25414.62437285583, 33873.56456498491, 35684.265877983475, 38029.17500990541, 34986.14810590895, 33567.718105726555, 38971.33884079739, 30660.858730069645, 38856.55132241513, 39623.158914415704, 27190.640220312285, 30494.621056405143, 36592.436045886556, 30263.007750804947, 35300.687024406965, 37175.67488450716, 39631.103994739235, 30629.28392488617, 35136.13414653982, 34256.993973184486, 32366.982536639753, 34139.774905734404, 27939.39754535137, 33469.20946386665, 29358.612688130583]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,4725.5,314.5,0.0,0.3213007876087749,0.19999999999999998,0.0005000000000000001,4.957645965757824,-0.027489282506414584,10.0,-1.6178403581891742e-07,0.01064252847834954,1.699326401475876,0.01
6,0,0,72000,72000,36000,36000,4000,4000,2448.8182126557476,2448.8182126557476,36000,36000,72000,4000,72000,False,9,f16be_00000,2025-12-22_22-17-57,1766413077,1.6374657154083252,14.037322044372559,13485,Mac,127.0.0.1,14.037322044372559,9,36000,36000,72000,72000,41858.56987638124,25414.62437285583,32675.342759464143,400.0,28800,0,0,41858.56987638124,25414.62437285583,32675.342759464143,0,1555.676,0.009,1555.653,396.63,1151.992,3472.247,6.302,36000,36000,72000,72000,28.799999999999997,68.76666666666667,"[41858.56987638124, 28724.920443213185, 35025.29846941328, 36459.71159340063, 28802.01347027085, 34898.34104558512, 29253.393701574652, 26087.490305986554, 35082.2551245614, 35649.09060067022, 32968.97478263923, 30137.610279312605, 33405.300284397425, 30342.200807384623, 29522.225788520467, 31509.532501664715, 28400.32828561036, 29205.06272396518, 34592.15346467598, 30706.095780646916, 30805.95385461222, 27480.35964520668, 37791.71504772304, 30957.777375338515, 36757.13270764025, 32779.60553717426, 27043.201652166077, 26854.393845143124, 33897.77236904709, 32960.6967333504, 35400.420294821015, 34726.83300365975, 34409.26253720759, 30198.5608968464, 30714.98496738475, 27391.976850136296, 35122.625322155145, 33455.84441556698, 38125.836349405625, 34303.51111537851, 31058.15640246923, 30014.55174379084, 34524.11278568334, 32497.8634759513, 29675.344720783636, 31908.70851366693, 25524.94318277613, 25414.62437285583, 33873.56456498491, 35684.265877983475, 38029.17500990541, 34986.14810590895, 33567.718105726555, 38971.33884079739, 30660.858730069645, 38856.55132241513, 39623.158914415704, 27190.640220312285, 30494.621056405143, 36592.436045886556, 30263.007750804947, 35300.687024406965, 37175.67488450716, 39631.103994739235, 30629.28392488617, 35136.13414653982, 34256.993973184486, 32366.982536639753, 34139.774905734404, 27939.39754535137, 33469.20946386665, 29358.612688130583]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,5355.5,314.5,0.0,0.33140438156468527,0.19999999999999998,0.0005000000000000001,4.957608568100702,-0.02791173067091713,10.0,-1.254535856701079e-07,0.011627874958526624,1.6805279591726878,0.01
6,0,0,80000,80000,40000,40000,4000,4000,2515.9637245201407,2515.9637245201407,40000,40000,80000,4000,80000,False,10,f16be_00000,2025-12-22_22-18-00,1766413080,3.311448812484741,17.3487708568573,13485,Mac,127.0.0.1,17.3487708568573,10,40000,40000,80000,80000,43294.3942987153,25414.62437285583,33381.27790608844,400.0,38400,0,24,43294.3942987153,25414.62437285583,33381.27790608844,24,1559.094,0.009,1559.071,394.85,1157.159,3456.742,6.329,40000,40000,80000,80000,31.75,68.725,"[41858.56987638124, 28724.920443213185, 35025.29846941328, 36459.71159340063, 28802.01347027085, 34898.34104558512, 29253.393701574652, 26087.490305986554, 35082.2551245614, 35649.09060067022, 32968.97478263923, 30137.610279312605, 33405.300284397425, 30342.200807384623, 29522.225788520467, 31509.532501664715, 28400.32828561036, 29205.06272396518, 34592.15346467598, 30706.095780646916, 30805.95385461222, 27480.35964520668, 37791.71504772304, 30957.777375338515, 36757.13270764025, 32779.60553717426, 27043.201652166077, 26854.393845143124, 33897.77236904709, 32960.6967333504, 35400.420294821015, 34726.83300365975, 34409.26253720759, 30198.5608968464, 30714.98496738475, 27391.976850136296, 35122.625322155145, 33455.84441556698, 38125.836349405625, 34303.51111537851, 31058.15640246923, 30014.55174379084, 34524.11278568334, 32497.8634759513, 29675.344720783636, 31908.70851366693, 25524.94318277613, 25414.62437285583, 33873.56456498491, 35684.265877983475, 38029.17500990541, 34986.14810590895, 33567.718105726555, 38971.33884079739, 30660.858730069645, 38856.55132241513, 39623.158914415704, 27190.640220312285, 30494.621056405143, 36592.436045886556, 30263.007750804947, 35300.687024406965, 37175.67488450716, 39631.103994739235, 30629.28392488617, 35136.13414653982, 34256.993973184486, 32366.982536639753, 34139.774905734404, 27939.39754535137, 33469.20946386665, 29358.612688130583, 35340.5380828816, 36736.904738168494, 31775.84488996395, 39757.70741953402, 31293.527526209622, 28818.894542727572, 37579.16537124546, 29666.060922720713, 35523.76252488477, 28318.433209504034, 37322.11166202212, 32387.89542421861, 34825.42073183252, 38030.324934463504, 29499.803905879984, 38644.70693910328, 37212.83209040189, 36023.72125846683, 35174.34725909629, 36456.25339691528, 38155.73820966741, 41860.10324448403, 43294.3942987153, 38279.50771996512]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,5985.5,314.5,0.0,0.34443710966715735,0.19999999999999998,0.0005000000000000001,4.959062175902109,-0.026510197622701525,10.0,-7.228245810856894e-08,0.011110780460703176,1.6649777255361042,0.01
